deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-03-29T01:00:53,telemetered,metbk_hourly,[],0 days 00:30:18,66 days 17:01:46,0,66,[],149,1736,81,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 42, 'common_sampling_rates': {'3600': '96.89%'}}",[],"['eastward_velocity', 'northward_velocity', 'air_temperature', 'shortwave_irradiance', 'sea_surface_temperature', 'barometric_pressure', 'precipitation', 'longwave_irradiance', 'relative_humidity', 'met_relwind_speed', 'time']","[['2014-01-26T03:30:05', '2014-01-27T10:30:05'], ['2014-02-05T06:30:22', '2014-02-07T13:40:17'], ['2014-02-07T13:40:17', '2014-02-08T17:40:17']]",3,4,pass,15,"{'99': 2, '25': 12, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CP01CNSM-SBD11-06-METBKA000-telemetered-metbk_hourly_20131121T184518.610000-20140210T065814.943000
deployment0001,2019-03-29T01:04:01,telemetered,metbk_a_dcl_instrument,[],0 days 00:00:18,66 days 16:46:41,0,66,[],149,100091,81,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 191, 'common_sampling_rates': {'64': '73.92%'}}",[],"['eastward_velocity', 'northward_velocity']","[['2014-01-26T03:21:27', '2014-01-27T10:39:10'], ['2014-02-05T06:02:59', '2014-02-07T13:10:17'], ['2014-02-07T14:00:20', '2014-02-08T17:24:13']]",3,4,pass,24,"{'99': 14, '95': 1, '75': 5, '50': 4}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CP01CNSM-SBD11-06-METBKA000-telemetered-metbk_a_dcl_instrument_20131121T181518.610000-20140210T071319.867000
deployment0002,2019-03-29T01:00:53,telemetered,metbk_hourly,[],0 days 00:30:52,0 days 00:27:59,0,0,[0.8397],3,51,3,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 2, 'common_sampling_rates': {'3600': '98.00%'}}",[],"['northward_velocity', 'eastward_velocity', 'barometric_pressure', 'relative_humidity', 'precipitation', 'longwave_irradiance', 'air_temperature', 'met_relwind_speed', 'shortwave_irradiance', 'sea_surface_temperature', 'time']",[],0,0,pass,15,"{'99': 1, '95': 1, '75': 12, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CP01CNSM-SBD11-06-METBKA000-telemetered-metbk_hourly_20141213T191752.649000-20141215T203001.252000
deployment0002,2019-03-29T01:04:01,telemetered,metbk_a_dcl_instrument,[],0 days 00:00:52,0 days 00:00:12,0,0,[0.8397],3,3011,3,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 16, 'common_sampling_rates': {'64': '75.38%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 18, '95': 2, '50': 4}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CP01CNSM-SBD11-06-METBKA000-telemetered-metbk_a_dcl_instrument_20141213T184752.649000-20141215T205748.265000
deployment0003,2019-03-29T01:00:51,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:20,0 days 00:00:20,0,0,"[0.3986, 0.9533]",170,243479,170,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 32, 'common_sampling_rates': {'64': '75.71%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 21, '95': 2, '75': 1}",{'99': 23},pass,fail: data found in another stream (gaps: [6] days: [6]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20150507T173420.503000-20151023T193940.483000
deployment0003,2019-03-29T01:00:52,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:20,0 days 00:09:14,0,0,"[0.3986, 0.9533]",170,4059,170,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 54, 'common_sampling_rates': {'3600': '98.00%'}}",[],"['eastward_velocity', 'northward_velocity', 'air_temperature', 'shortwave_irradiance', 'barometric_pressure', 'met_relwind_speed', 'relative_humidity', 'precipitation', 'sea_surface_temperature', 'longwave_irradiance', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20150507T180420.503000-20151023T193046.056000
deployment0004,2019-03-29T01:00:51,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:35,0 days 00:00:37,0,0,"[0.8349, 0.0886, 0.985]",165,218503,165,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 310, 'common_sampling_rates': {'64': '73.35%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 22, '95': 2}",{'99': 23},pass,fail: data found in another stream (gaps: [5] days: [5]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20151023T184935.883000-20160404T120223.685000
deployment0004,2019-03-29T01:00:52,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:35,-1 days +23:32:24,0,-1,"[0.8349, 0.0886, 0.985]",165,3797,165,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 66, 'common_sampling_rates': {'3600': '96.97%'}}",[],"['eastward_velocity', 'northward_velocity', 'precipitation', 'sea_surface_temperature', 'air_temperature', 'shortwave_irradiance', 'barometric_pressure', 'longwave_irradiance', 'met_relwind_speed', 'relative_humidity', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20151023T191935.883000-20160404T123036.471000
deployment0005,2019-03-29T01:00:51,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:40,126 days 10:22:01,0,126,"[0.4197, 0.9698, 0.0222, 1.0026]",154,38598,28,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 28, 'common_sampling_rates': {'60': '13.99%', '64': '62.14%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 15, '95': 8, '75': 1}",{'99': 23},pass,fail: data found in another stream (gaps: [1] days: [1]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20160513T135040.010000-20160609T091159.660000
deployment0005,2019-03-29T01:00:52,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:40,126 days 10:03:46,0,126,"[0.4197, 0.9698, 0.0222, 1.0026]",154,645,28,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 9, 'common_sampling_rates': {'3600': '97.98%'}}",[],"['eastward_velocity', 'northward_velocity', 'sea_surface_temperature', 'air_temperature', 'relative_humidity', 'met_relwind_speed', 'precipitation', 'longwave_irradiance', 'shortwave_irradiance', 'barometric_pressure', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20160513T142040.010000-20160609T093014.599000
deployment0006,2019-03-29T01:00:51,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:39,0 days 06:12:21,0,0,"[0.832, 0.0651, 0.9729, 0.0238, 0.9903]",240,342798,240,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 69, 'common_sampling_rates': {'64': '69.48%', '65': '10.08%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 21, '75': 2, '50': 1}",{'99': 23},pass,"fail: data found in another stream (gaps: [1, 9] days: [1, 9])","['obs', 'time', 'lat', 'lon']",pass,[],deployment0006_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20161013T183639.786000-20170609T095239.361000
deployment0006,2019-03-29T01:00:52,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:39,0 days 06:34:29,0,0,"[0.832, 0.0651, 0.9729, 0.0238, 0.9903]",240,5723,240,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 58, 'common_sampling_rates': {'3600': '97.92%'}}",[],"['northward_velocity', 'eastward_velocity', 'relative_humidity', 'barometric_pressure', 'met_relwind_speed', 'sea_surface_temperature', 'longwave_irradiance', 'air_temperature', 'shortwave_irradiance', 'precipitation', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,fail: data found in another stream (gaps: [1] days: [1]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0006_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20161013T190639.786000-20170609T093031.152000
deployment0007,2019-03-29T01:00:51,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:59,1 days 08:27:43,0,1,"[0.3511, 0.9333, 0.0476, 0.9613, 0.0688, 0.9501]",146,207225,145,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 23, 'common_sampling_rates': {'64': '74.70%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 22, '95': 1, '75': 1}","{'99': 19, '95': 3, '75': 1}","fail: check ['Surface Current Direction', 'Relative Wind Direction', 'Net Heat Flux', 'Latent Heat Flux']","fail: data found in another stream (gaps: [1, 7] days: [2, 8])","['obs', 'time', 'lat', 'lon']",pass,[],deployment0007_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20170609T142459.388000-20171031T120517.610000
deployment0007,2019-03-29T01:00:52,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:59,1 days 08:02:46,0,1,"[0.3511, 0.9333, 0.0476, 0.9613, 0.0688, 0.9501]",146,3455,145,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 51, 'common_sampling_rates': {'3600': '97.94%'}}",[],"['eastward_velocity', 'northward_velocity', 'relative_humidity', 'precipitation', 'shortwave_irradiance', 'air_temperature', 'barometric_pressure', 'sea_surface_temperature', 'longwave_irradiance', 'met_relwind_speed', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,fail: data found in another stream (gaps: [1] days: [2]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0007_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20170609T145459.388000-20171031T123014.484000
deployment0008,2019-03-29T01:00:51,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:06,0 days 00:00:30,0,0,"[0.8169, 0.0755, 0.9623, 0.0238, 0.9798, 0.017, 0.9389]",152,217044,152,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 37, 'common_sampling_rates': {'64': '72.08%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 22, '95': 2}","{'99': 22, '95': 1}",fail: check ['Surface Current Direction'],fail: data found in another stream (gaps: [5] days: [5]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0008_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20171029T141506.199000-20180329T193630.537000
deployment0008,2019-03-29T01:00:52,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:06,0 days 01:06:39,0,0,"[0.8169, 0.0755, 0.9623, 0.0238, 0.9798, 0.017, 0.9389]",152,3618,152,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 45, 'common_sampling_rates': {'3600': '97.95%'}}",[],"['eastward_velocity', 'northward_velocity', 'air_temperature', 'sea_surface_temperature', 'longwave_irradiance', 'barometric_pressure', 'met_relwind_speed', 'relative_humidity', 'shortwave_irradiance', 'precipitation', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,fail: data found in another stream (gaps: [3] days: [3]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0008_CP01CNSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20171029T144506.199000-20180329T183021.411000
